sample_id,energy_mev,voxels,criterion,interp_fraction,max_gamma,rung,backend,device,dtype,path,pass_rate_pct,seconds_best,seconds_mean,repeats
6893e011-a87f-45fe-ae10-516bc74a5257,146.84538960456848,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,99.37203247051616,0.052534996066242456,0.05478603136725724,3
695cf12e-95f8-4d8a-afdd-02ea04ada6e2,142.38298654556274,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,92.94754437634323,0.1012711669318378,0.10287658063073953,3
72fd486f-084e-4000-8d19-355604cf687f,158.20101022720337,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,99.06681227042588,0.054032210959121585,0.05448611065124472,3
74af10f2-83d9-4fbd-b848-5ac41694f3fd,173.58777046203613,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,99.21663151551672,0.053861271939240396,0.054854154315156244,3
7a78633c-2ba5-4fee-b606-628fa3f3fa30,80.71996614336967,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,99.74890144381669,0.05159284803085029,0.06102278033116212,3
836e6824-cf0d-4dff-8cbc-a17f7f47ae2a,99.21854853630066,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,99.93588373584099,0.05219553702045232,0.05376736000956347,3
883a1941-a022-4bd0-aa7e-bc053cb60856,153.4105908870697,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,98.11055040488206,0.054507844033651054,0.0549996190238744,3
9247005d-f858-45db-874d-bdb91ec05f6e,116.248260140419,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,95.1891756452017,0.05454736098181456,0.05626992632945379,3
acad417b-c3e8-464b-9cf2-f9d9b831095b,144.26342368125916,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,94.47196354269863,0.07784636097494513,0.07881358797506739,3
ae66f60e-ad24-4a8c-b34d-ab554da98962,148.0334234237671,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,89.51143591825686,0.17396487295627594,0.17461630899924785,3
bb89c4a7-8088-46df-bc8f-e5e97bdb002b,153.72092843055725,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,81.0571736785329,0.18457406293600798,0.18690111631682763,3
bca0a1d8-902b-43e3-9330-00667f14172f,118.96189868450165,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,99.29352780309935,0.05232892406638712,0.05254838704907646,3
bce1cef6-54fc-43b5-9380-4dfecc596a02,145.6991982460022,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,98.95474025295286,0.053030762006528676,0.0542376006875808,3
